zona_id,zona_nombre,centro_lat,centro_lon,total_mediciones,altitud_promedio,grid_lat,grid_lon,grid_latitud_inicio,grid_latitud_fin,grid_longitud_inicio,grid_longitud_fin
1,ZONA_1_ALTA,-17.80168,-63.11011,17854,422.41,-890,-3155,-17.8,-17.78,-63.1,-63.08
2,ZONA_2_ALTA,-17.775573,-63.193384,14435,438.95,-888,-3159,-17.76,-17.740000000000002,-63.18,-63.160000000000004
3,ZONA_3_ALTA,-17.82708,-63.111771,9814,425.49,-891,-3155,-17.82,-17.8,-63.1,-63.08
4,ZONA_4_ALTA,-17.768864,-63.110829,9288,416.5,-888,-3155,-17.76,-17.740000000000002,-63.1,-63.08
5,ZONA_5_ALTA,-17.839209,-63.173746,7990,445.09,-891,-3158,-17.82,-17.8,-63.160000000000004,-63.14
6,ZONA_6_ALTA,-17.732596,-63.102051,6810,409.6,-886,-3155,-17.72,-17.7,-63.1,-63.08
7,ZONA_7_ALTA,-17.788304,-63.152451,5621,300.25,-889,-3157,-17.78,-17.76,-63.14,-63.120000000000005
8,ZONA_8_ALTA,-17.818371,-63.099555,3855,421.8,-890,-3154,-17.8,-17.78,-63.08,-63.06
9,ZONA_9_ALTA,-17.718749,-63.106576,3540,406.31,-885,-3155,-17.7,-17.68,-63.1,-63.08
10,ZONA_10_ALTA,-17.797846,-63.134868,3517,381.12,-889,-3156,-17.78,-17.76,-63.120000000000005,-63.1
11,ZONA_11_ALTA,-17.80557,-63.19029,3464,448.66,-890,-3159,-17.8,-17.78,-63.18,-63.160000000000004
12,ZONA_12_ALTA,-17.750395,-63.127618,3174,421.16,-887,-3156,-17.740000000000002,-17.72,-63.120000000000005,-63.1
13,ZONA_13_ALTA,-17.774319,-63.172112,2557,442.28,-888,-3158,-17.76,-17.740000000000002,-63.160000000000004,-63.14
14,ZONA_14_ALTA,-17.603776,-63.135685,2435,385.54,-880,-3156,-17.6,-17.580000000000002,-63.120000000000005,-63.1
15,ZONA_15_ALTA,-17.847068,-63.164012,2274,439.29,-892,-3158,-17.84,-17.82,-63.160000000000004,-63.14
16,ZONA_16_ALTA,-17.800579,-63.131608,2129,426.86,-890,-3156,-17.8,-17.78,-63.120000000000005,-63.1
17,ZONA_17_MEDIA,-17.963333,-63.361672,1655,528.49,-898,-3168,-17.96,-17.94,-63.36,-63.34
18,ZONA_18_MEDIA,-17.773533,-63.1525,1480,433.76,-888,-3157,-17.76,-17.740000000000002,-63.14,-63.120000000000005
19,ZONA_19_MEDIA,-17.82594,-63.181473,1457,447.02,-891,-3159,-17.82,-17.8,-63.18,-63.160000000000004
20,ZONA_20_MEDIA,-17.784076,-63.165948,1426,435.87,-889,-3158,-17.78,-17.76,-63.160000000000004,-63.14
21,ZONA_21_MEDIA,-17.758629,-63.15773,1382,431.8,-887,-3157,-17.740000000000002,-17.72,-63.14,-63.120000000000005
22,ZONA_22_MEDIA,-17.850714,-63.232615,1368,463.25,-892,-3161,-17.84,-17.82,-63.22,-63.2
23,ZONA_23_MEDIA,-17.772636,-63.131466,1359,425.32,-888,-3156,-17.76,-17.740000000000002,-63.120000000000005,-63.1
24,ZONA_24_MEDIA,-17.805051,-63.150158,1304,435.0,-890,-3157,-17.8,-17.78,-63.14,-63.120000000000005
25,ZONA_25_MEDIA,-17.788333,-63.189804,1278,436.41,-889,-3159,-17.78,-17.76,-63.18,-63.160000000000004
26,ZONA_26_MEDIA,-17.828366,-63.225714,1155,454.54,-891,-3161,-17.82,-17.8,-63.22,-63.2
27,ZONA_27_MEDIA,-17.830886,-63.25001,691,461.89,-891,-3162,-17.82,-17.8,-63.24,-63.22
28,ZONA_28_MEDIA,-17.691714,-63.1333,620,405.13,-884,-3156,-17.68,-17.66,-63.120000000000005,-63.1
29,ZONA_29_MEDIA,-17.727099,-63.174903,553,419.73,-886,-3158,-17.72,-17.7,-63.160000000000004,-63.14
30,ZONA_30_BAJA,-17.753183,-63.170611,482,431.94,-887,-3158,-17.740000000000002,-17.72,-63.160000000000004,-63.14
31,ZONA_31_BAJA,-17.813185,-63.209611,402,448.14,-890,-3160,-17.8,-17.78,-63.2,-63.18
32,ZONA_32_BAJA,-17.724453,-63.121151,369,411.32,-886,-3156,-17.72,-17.7,-63.120000000000005,-63.1
33,ZONA_33_BAJA,-17.98268,-63.373364,307,537.9,-899,-3168,-17.98,-17.96,-63.36,-63.34
34,ZONA_34_BAJA,-17.950054,-63.354535,238,525.32,-897,-3167,-17.94,-17.92,-63.34,-63.32
35,ZONA_35_BAJA,-17.812833,-63.174276,220,444.85,-890,-3158,-17.8,-17.78,-63.160000000000004,-63.14
36,ZONA_36_BAJA,-17.834393,-63.218186,167,454.12,-891,-3160,-17.82,-17.8,-63.2,-63.18
37,ZONA_37_BAJA,-17.787313,-63.206555,137,403.07,-889,-3160,-17.78,-17.76,-63.2,-63.18
38,ZONA_38_BAJA,-17.694629,-63.155747,114,412.94,-884,-3157,-17.68,-17.66,-63.14,-63.120000000000005
39,ZONA_39_BAJA,-17.9371,-63.350134,107,524.5,-896,-3167,-17.92,-17.900000000000002,-63.34,-63.32
40,ZONA_40_BAJA,-17.845036,-63.245557,105,464.7,-892,-3162,-17.84,-17.82,-63.24,-63.22
41,ZONA_41_BAJA,-17.828387,-63.131555,97,432.1,-891,-3156,-17.82,-17.8,-63.120000000000005,-63.1
42,ZONA_42_BAJA,-17.782486,-63.09077,92,415.62,-889,-3154,-17.78,-17.76,-63.08,-63.06
43,ZONA_43_BAJA,-17.750496,-63.189196,91,428.82,-887,-3159,-17.740000000000002,-17.72,-63.18,-63.160000000000004
44,ZONA_44_BAJA,-17.607547,-63.152412,63,390.68,-880,-3157,-17.6,-17.580000000000002,-63.14,-63.120000000000005
45,ZONA_45_BAJA,-17.848159,-63.10648,59,421.9,-892,-3155,-17.84,-17.82,-63.1,-63.08
46,ZONA_46_BAJA,-17.894127,-63.331908,56,524.5,-894,-3166,-17.88,-17.86,-63.32,-63.300000000000004
47,ZONA_47_BAJA,-17.730728,-63.148456,45,419.29,-886,-3157,-17.72,-17.7,-63.14,-63.120000000000005
48,ZONA_48_BAJA,-17.671498,-63.158418,42,406.52,-883,-3157,-17.66,-17.64,-63.14,-63.120000000000005
49,ZONA_49_BAJA,-17.74441,-63.114114,40,301.98,-887,-3155,-17.740000000000002,-17.72,-63.1,-63.08
50,ZONA_50_BAJA,-17.823719,-63.14461,33,436.8,-891,-3157,-17.82,-17.8,-63.14,-63.120000000000005
51,ZONA_51_BAJA,-17.866925,-63.270535,33,486.04,-893,-3163,-17.86,-17.84,-63.26,-63.24
52,ZONA_52_BAJA,-17.770766,-63.202429,32,436.19,-888,-3160,-17.76,-17.740000000000002,-63.2,-63.18
53,ZONA_53_BAJA,-17.711487,-63.161017,28,419.31,-885,-3158,-17.7,-17.68,-63.160000000000004,-63.14
54,ZONA_54_BAJA,-17.731924,-63.182133,24,422.94,-886,-3159,-17.72,-17.7,-63.18,-63.160000000000004
55,ZONA_55_BAJA,-17.854822,-63.093058,21,415.99,-892,-3154,-17.84,-17.82,-63.08,-63.06
56,ZONA_56_BAJA,-17.910766,-63.343023,21,524.5,-895,-3167,-17.900000000000002,-17.88,-63.34,-63.32
57,ZONA_57_BAJA,-17.747748,-63.092817,20,0.0,-887,-3154,-17.740000000000002,-17.72,-63.08,-63.06
58,ZONA_58_BAJA,-17.704086,-63.158409,17,416.05,-885,-3157,-17.7,-17.68,-63.14,-63.120000000000005
59,ZONA_59_BAJA,-17.650983,-63.157971,17,402.05,-882,-3157,-17.64,-17.62,-63.14,-63.120000000000005
60,ZONA_60_BAJA,-17.797959,-63.11521,17,422.8,-889,-3155,-17.78,-17.76,-63.1,-63.08
61,ZONA_61_BAJA,-17.841514,-63.188066,16,448.06,-892,-3159,-17.84,-17.82,-63.18,-63.160000000000004
62,ZONA_62_BAJA,-17.883386,-63.291596,15,524.5,-894,-3164,-17.88,-17.86,-63.28,-63.26
63,ZONA_63_BAJA,-17.889937,-63.311299,15,524.5,-894,-3165,-17.88,-17.86,-63.300000000000004,-63.28
64,ZONA_64_BAJA,-17.959757,-63.360651,14,527.4,-897,-3168,-17.94,-17.92,-63.36,-63.34
65,ZONA_65_BAJA,-17.630589,-63.158402,13,398.71,-881,-3157,-17.62,-17.6,-63.14,-63.120000000000005
66,ZONA_66_BAJA,-17.710019,-63.128795,10,412.94,-885,-3156,-17.7,-17.68,-63.120000000000005,-63.1
67,ZONA_67_BAJA,-17.877474,-63.282408,9,524.5,-893,-3164,-17.86,-17.84,-63.28,-63.26
68,ZONA_68_BAJA,-17.786273,-63.222714,7,442.23,-889,-3161,-17.78,-17.76,-63.22,-63.2
69,ZONA_69_BAJA,-17.858587,-63.261219,6,474.5,-892,-3163,-17.84,-17.82,-63.26,-63.24
70,ZONA_70_BAJA,-17.510922,-63.167544,6,360.6,-875,-3158,-17.5,-17.48,-63.160000000000004,-63.14
71,ZONA_71_BAJA,-17.757982,-63.200724,4,432.01,-887,-3160,-17.740000000000002,-17.72,-63.2,-63.18
72,ZONA_72_BAJA,-17.815933,-63.224067,3,452.1,-890,-3161,-17.8,-17.78,-63.22,-63.2
73,ZONA_73_BAJA,-17.530809,-63.161549,3,367.37,-876,-3158,-17.52,-17.5,-63.160000000000004,-63.14
74,ZONA_74_BAJA,-17.589208,-63.157406,2,294.4,-879,-3157,-17.580000000000002,-17.56,-63.14,-63.120000000000005
75,ZONA_75_BAJA,-17.467461,-63.186915,2,346.0,-873,-3159,-17.46,-17.44,-63.18,-63.160000000000004
76,ZONA_76_BAJA,-17.446702,-63.188958,2,346.0,-872,-3159,-17.44,-17.42,-63.18,-63.160000000000004
77,ZONA_77_BAJA,-17.43261,-63.190827,2,338.7,-871,-3159,-17.42,-17.400000000000002,-63.18,-63.160000000000004
78,ZONA_78_BAJA,-17.566024,-63.160873,2,368.5,-878,-3158,-17.56,-17.54,-63.160000000000004,-63.14
79,ZONA_79_BAJA,-17.546131,-63.183733,2,206.0,-877,-3159,-17.54,-17.52,-63.18,-63.160000000000004
80,ZONA_80_BAJA,-17.697948,-63.160373,2,415.2,-884,-3158,-17.68,-17.66,-63.160000000000004,-63.14
81,ZONA_81_BAJA,-17.416943,-63.196297,1,338.7,-870,-3159,-17.400000000000002,-17.38,-63.18,-63.160000000000004
82,ZONA_82_BAJA,-17.483585,-63.180312,1,346.0,-874,-3159,-17.48,-17.46,-63.18,-63.160000000000004
83,ZONA_83_BAJA,-17.546625,-63.16362,1,368.5,-877,-3158,-17.54,-17.52,-63.160000000000004,-63.14
84,ZONA_84_BAJA,-17.408012,-63.203973,1,338.7,-870,-3160,-17.400000000000002,-17.38,-63.2,-63.18
85,ZONA_85_BAJA,-17.549245,-63.159653,1,368.5,-877,-3157,-17.54,-17.52,-63.14,-63.120000000000005
86,ZONA_86_BAJA,-17.398115,-63.211135,1,266.7,-869,-3160,-17.38,-17.36,-63.2,-63.18
87,ZONA_87_BAJA,-17.492798,-63.17599,1,346.0,-874,-3158,-17.48,-17.46,-63.160000000000004,-63.14
88,ZONA_88_BAJA,-17.612563,-63.160071,1,392.7,-880,-3158,-17.6,-17.580000000000002,-63.160000000000004,-63.14
